Rank,Validator Name,Validator Vote Account,Active Stake (SOL),Percentage of total stake (%),Cumulative Stake (%),Issuance Rewards Commission (%),Jito MEV Commission Rate (%),Issuance Revenue (SOL),Issuance Revenue as % of Total Revenue (%),Jito MEV Revenue (SOL),Jito MEV Revenue as % of Total Revenue (%),Block Rewards Revenue (SOL),Block Rewards Revenue as % of Total Revenue (%),Total Revenue (SOL),Server Cost (SOL),Voting Cost (SOL),Profit(SOL),Profitable
671,Nodes24.io 💎Jito 0% MEV💥,ASfKFAKz6fH4eip1jdLGt5Ym954kU9KYnwq2Csn9ogSz,38887.4,0.0001,0.965,0,0,0,0,0,0,507.97,1,507.97,133.33,365,9.64,BREAKEVEN
672,ZIM_ONE | 0%Fee+MEV,Hmq1oALENff8DejgYhJxB4njb6pyCtuMKKxotdZicB4n,38417.73,0.0001,0.965,0,0,0,0,0,0,501.84,1,501.84,133.33,365,3.5,BREAKEVEN
673,TDRSystems,BKccvpa2f5McCLjE91pSGzEY6Ac5sWm1jmHy5QmZ1vTm,37798.86,0.0001,0.965,0.05,0.1,129.89,0.1923,51.97,0.0769,493.75,0.7308,675.61,133.33,365,177.28,YES
674,Crypto Flow,ADYZmUgm49MeEotqzz59eVtoeNKBv5d4jRn8xjvR2uj3,37246.05,0.0001,0.965,0,0.1,0,0,51.21,0.0952,486.53,0.9048,537.75,133.33,365,39.41,YES
675,rocknode,DUxWarcMsNYD5EKj3mchf7ssT9j6h4Bdw3VFJi7QxDry,37034.67,0.0001,0.965,0.05,0.1,127.26,0.1923,50.92,0.0769,483.77,0.7308,661.96,133.33,365,163.62,YES
676,Bukashka,FGj3nQTn2Lwe9KkaKnFGm4HcxLSh8B8TjpvP4CinP4iX,36972.57,0.0001,0.965,0,0.1,0,0,50.84,0.0952,482.96,0.9048,533.8,133.33,365,35.46,YES
677,QuickNode,5s3vajJvaAbabQvxFdiMfg14y23b2jvK6K2Mw4PYcYK,36954.67,0.0001,0.965,0,0,0,0,0,0,482.73,1,482.73,133.33,365,-15.61,NO
678,Gritsly Nodes,HBH2mppWdny8NBgxm61DjDqBzNLymn8fZFkFX6JnSAX6,36914.48,0.0001,0.965,0,0.05,0,0,25.38,0.05,482.2,0.95,507.58,133.33,365,9.25,BREAKEVEN
679,Staking Fund,SFund7s2YPS7iCu7W2TobbuQEpVEAv9ZU7zHKiN1Gow,36119.23,0.0001,0.966,0.05,0.1,124.12,0.1923,49.66,0.0769,471.81,0.7308,645.59,133.33,365,147.26,YES
680,SolarTeam | 🚀 0% Fee + MEV 💰 Boosted APY!,8PTusiY7z4wfjScHU6hr459AFDzrCki4wWmwhXd91mMr,35977.96,0.0001,0.966,0,0,0,0,0,0,469.97,1,469.97,133.33,365,-28.37,NO
681,CatalystX - Innovation OnChain,ErvMUdtMC7AX55zKdYSyy4DnWNCrTsWn5GwprSG7ocnx,35685.43,0.00009,0.966,0.05,0.1,122.63,0.1923,49.07,0.0769,466.15,0.7308,637.84,133.33,365,139.51,YES
682,nikks,6Wi4bMzio6PGnHXg39zBMjGp5vgphLBB2k238DzPBqhz,35552.9,0.00009,0.966,0.05,0.1,122.17,0.1923,48.89,0.0769,464.41,0.7308,635.47,133.33,365,137.14,YES
683,dogo validator,sShosKd6uA5c1ZpVMxdsE6do13TLRWSMYsXbSMmNC77,35443.97,0.00009,0.966,0,0,0,0,0,0,462.99,1,462.99,133.33,365,-35.34,NO
684,Morpheus,FSZ4GBucapayiQC8w1VNpKDmzM6NZDBSZmEFZsgMteRr,35351.88,0.00009,0.966,0,0.1,0,0,48.61,0.0952,461.79,0.9048,510.4,133.33,365,12.07,YES
685,Block Aegis,CvfYpW8gRQ7bHy9uvuvqy2vpcNmXuBnvaoa2AC8pGHJx,35123.07,0.00009,0.966,0,0,0,0,0,0,458.8,1,458.8,133.33,365,-39.53,NO
686,some name,uTnZDhnbiSV3TX2obj71nFPAm2aXy83mFTFYzaBRk34,35084.99,0.00009,0.966,0.05,0.1,120.56,0.1923,48.24,0.0769,458.3,0.7308,627.11,133.33,365,128.77,YES
687,,B8kmCsDCzhztpiNTL1nhJzsQyxEyW4Ks9Z8kvXXLbvzv,34996.5,0.00009,0.966,1,1,2405.16,0.7194,481.21,0.1439,457.15,0.1367,3343.51,133.33,365,2845.18,YES
688,AsmrValidator ✅ 0% fee + MEV,GFQmJaC2SqTDf2tfAHauiGdaBfBD8tJVpwZTT78SeBCr,34704.73,0.00009,0.966,0,0,0,0,0,0,453.34,1,453.34,133.33,365,-45,NO
689,Insane,89jnaTMuq5aXUkmpLbykRNaU16i7Du6QywqqPeCPT1Dy,34689.69,0.00009,0.966,0,0,0,0,0,0,453.14,1,453.14,133.33,365,-45.19,NO
690,Wave,H1kyn75BFTXr8QRmToRRvuEEmYan5n6M5APyfhMLau3b,34687.09,0.00009,0.967,0,0,0,0,0,0,453.11,1,453.11,133.33,365,-45.23,NO
691,MV 🔥0%fee+MEV🔥,FJ7sKbuXR28w4K5EChBbi9tXYfCfrdpF4EaKnRvLPzL8,34649.12,0.00009,0.967,0,0,0,0,0,0,452.61,1,452.61,133.33,365,-45.72,NO
692,nga_validator,9K67smfw8hDXmtnR7uvP62WrKUcB7oZ8cvpsB1hmrCzf,34590.22,0.00009,0.967,0.05,0.1,118.86,0.1923,47.56,0.0769,451.84,0.7308,618.26,133.33,365,119.93,YES
693,Forhayley,BmCLQofhV75owwSAbhZhvQtRRcCaftKUwNfnGBv41QEg,34339.11,0.00009,0.967,0,0.1,0,0,47.22,0.0952,448.56,0.9048,495.78,133.33,365,-2.56,BREAKEVEN
694,Ketchup,HkqCfZFY5Hh8UDSGH6AJqtxpS6CFC2aqqFgqiDYtSPZw,34144.64,0.00009,0.967,0,0.1,0,0,46.95,0.0952,446.02,0.9048,492.97,133.33,365,-5.36,BREAKEVEN
695,NodT,3pBPy27F1Wz3iVydZnGkdvefStrFm8UMCDakYZii8AUZ,34036.76,0.00009,0.967,0,0.1,0,0,46.8,0.0952,444.61,0.9048,491.41,133.33,365,-6.92,BREAKEVEN
696,mainnet_MHS_validator,BgjQPDdsHeD9XXs7pYyHsmvKdkLR1A4SBNYs3mLmPUCD,33913.06,0.00009,0.967,0.05,0.1,116.53,0.1923,46.63,0.0769,442.99,0.7308,606.16,133.33,365,107.83,YES
697,IN OTHER LIFE,DX3Rpy2drSHvwS85EEy29wH3LQG2ZrefoYqhroeJSzY7,33832.49,0.00009,0.967,0,0.1,0,0,46.52,0.0952,441.94,0.9048,488.46,133.33,365,-9.87,BREAKEVEN
698,EvasMainnet,C8MLmDCg3LReWoNCkFdHgsscFpHx2WdtcU9ZziNfXrhd,33680.78,0.00009,0.967,0.05,0.1,115.74,0.1923,46.31,0.0769,439.96,0.7308,602.01,133.33,365,103.68,YES
699,Marco Polo 0% Fee +MEV,EUiPhYZ8NoWX5ZzDh2cRR1fAS4su9jjV3YE7veyactzd,33494.21,0.00009,0.967,0,0.1,0,0,46.06,0.0952,437.52,0.9048,483.58,133.33,365,-14.76,NO
700,🚀 ELSOUL LABO 🚀 - Support OSS ⭐,ELLB9W7ZCwRCV3FzWcCWoyKP6NjZJKArLyGtkqefnHcG,33438.18,0.00009,0.967,0,0,0,0,0,0,436.79,1,436.79,133.33,365,-61.54,NO
701,mrknc,644K33yWfSzc32VvY5fRUfUqphw8LTaLQntCkyEpJ8h7,33349.89,0.00009,0.968,0,0.01,0,0,4.59,0.0104,435.64,0.9896,440.22,133.33,365,-58.11,NO
702,«Richstone»,EtkzFbZak1QuZUTK6woX41dhjtguoeQsh9Xh1VRVNeGv,33287.62,0.00009,0.968,0.05,0.1,114.39,0.1923,45.77,0.0769,434.82,0.7308,594.98,133.33,365,96.65,YES
703,Dragon Kiss,ApcUbFDskBMrYJqu9orEnPSq5uMAH1YjhwR4DP2JwKT8,33186.83,0.00009,0.968,0,0.1,0,0,45.63,0.0952,433.51,0.9048,479.14,133.33,365,-19.19,NO
704,Pesky Penguins (0% fee; +MEV) NOOT NOOT,vvvvXsU6iG2enDVvs4KeVqS4YrZczTujSv5p3dSeNHx,33149.95,0.00009,0.968,0,0.1,0,0,45.58,0.0952,433.03,0.9048,478.61,133.33,365,-19.73,NO
705,ZEROMAX - 0% + Jito MEV,VoteMYitKq7mruk9QPJRUgryYbSkyZKBuvnL1VTgoMq,33120.38,0.00009,0.968,0,0,0,0,0,0,432.64,1,432.64,133.33,365,-65.69,NO
706,SolanaBull 🚀,FLCrbfbwEhFARa8nK9rnZw8BVtKNAuHujh9EhWy5A4U4,33093.6,0.00009,0.968,0,0.1,0,0,44.14,0.0926,432.29,0.9074,476.43,133.33,365,-21.9,NO
707,NXT,nxtHdSDmUZ8dWTC7KuPp8ZLxVVxhim4RCL4pmaQnLFA,32956.68,0.00009,0.968,0,0,0,0,0,0,430.5,1,430.5,133.33,365,-67.83,NO
708,0base.vc | MEV 🔥,5BAi9YGCipHq4ZcXuen5vagRQqRTVTRszXNqBZC6uBPZ,32435.62,0.00009,0.968,0.05,0.1,111.46,0.1923,44.6,0.0769,423.7,0.7308,579.75,133.33,365,81.42,YES
709,Sila Systems | 0% Fee + MEV,siLaRwjLu35b9uRkwz1aiToUGyjoy4JTTgHMBDj3924,32207.64,0.00009,0.968,0,0,0,0,0,0,420.72,1,420.72,133.33,365,-77.62,NO
710,CyberVillage,FwLsjPJdnSiuCvs1NXyR1cV6Sw5GRE6Lj2s1gZ9NNTmv,32185.07,0.00009,0.968,0,0.05,0,0,22.13,0.05,420.42,0.95,442.55,133.33,365,-55.78,NO
711,Abyss,3JadNLK7V9NNzC9a1jRAZQXExT7mBtBhcjCaaaRE7B3R,32135.07,0.00009,0.968,0,0.1,0,0,44.19,0.0952,419.77,0.9048,463.96,133.33,365,-34.38,NO
712,QuantumElevator™,5vfEHBMSCTkR41GeKLyLb6ua6dd632eCpEXYC4YzG5df,31870.86,0.00008,0.969,0,0,0,0,0,0,416.32,1,416.32,133.33,365,-82.02,NO
713,Solana Ukraine 🇺🇦,HcbE5huUVDgsf7SURsRfQqnFMp3Zz3i49eXMddugPyAP,31656.8,0.00008,0.969,0,0.1,0,0,43.53,0.0952,413.52,0.9048,457.05,133.33,365,-41.28,NO
714,BonsAI 🌳,2Q9mEXrNcJknsDyBjsAieH8XrL4MBePEaLJwmHr3NK3L,31421.45,0.00008,0.969,0,0,0,0,0,0,410.45,1,410.45,133.33,365,-87.89,NO
715,FRA 0% Validator | No commission + Jito/MEV,7F6Q6C9sthb4DPaM3gnncwopgJmuFFTu1jYjhBUdvqhj,31213.39,0.00008,0.969,0,0,0,0,0,0,407.73,1,407.73,133.33,365,-90.6,NO
716,olsenolai,HQ6ywTaLZxjEVLJsR4rLeLjGw7ZDJKd2c5fSF8FHxaG7,31199.25,0.00008,0.969,0.1,0,214.42,0.3447,0,0,407.54,0.6553,621.96,133.33,365,123.63,YES
717,Aronogarago,DySC6eaUthvVVzu4s8GFupm4PzYLNvq372AYnNrKP4xP,31178.43,0.00008,0.969,0,0,0,0,0,0,407.27,1,407.27,133.33,365,-91.06,NO
718,janliam,BUY3swp2NSTMsQmLDnYgoEoLNJyCX1MQZQjnAVL7SnSx,31164.29,0.00008,0.969,0.1,0,214.18,0.3447,0,0,407.09,0.6553,621.27,133.33,365,122.93,YES
719,oligarrison,2cFGQhgkuibqREEXvz7wEb5CwUqGHfBSTB2oa1hmhkcw,31114.53,0.00008,0.969,0.1,0,213.84,0.3447,0,0,406.44,0.6553,620.27,133.33,365,121.94,YES
720,sl-he[2Staked],7DJunpQm9vgLXnspokwjivkdX6UkugT3HZs4prjsPkG4,31068.56,0.00008,0.969,0.1,0,213.52,0.3447,0,0,405.84,0.6553,619.36,133.33,365,121.03,YES
721,launoosku,2mQNruSKNnn6fWqJjKNGsQtpsMnuxxMzHsrKT6iVR7tW,31068.1,0.00008,0.969,0.1,0,213.52,0.3447,0,0,405.83,0.6553,619.35,133.33,365,121.02,YES
722,BlockRockers 🎸0% fee + MEV rewards for stakers,HkK6U5e8HkTs5uE7VEWQ2H3NuznjLF1mpoRVjzdDgfF5,31066.04,0.00008,0.969,0,0.1,0,0,42.72,0.0952,405.8,0.9048,448.52,133.33,365,-49.81,NO
723,Magpie,mnde2ZW5LdekuDB9ywYsKeZvpNUqRXACnGks8d6TShC,31005.55,0.00008,0.969,0,0,0,0,0,0,405.01,1,405.01,133.33,365,-93.32,NO
724,fredrikmalmqvist,EXEGg4fRhq7YqK62oKejKeErBHLJqM9tb6iqWpVaHWDD,30966.61,0.00008,0.97,0.1,0,212.82,0.3447,0,0,404.51,0.6553,617.33,133.33,365,118.99,YES
725,felixschulz,2hjoQMqRAG5ftTPCSkUavMEaVX35qbj3LK3Q3HDmv4mZ,30965.23,0.00008,0.97,0.1,0,212.81,0.3447,0,0,404.49,0.6553,617.3,133.33,365,118.97,YES
726,,AtvnDGvf7Dd4AUA7iihx3hV8598skHejZTn2YTNV6AMF,30898.86,0.00008,0.97,0,0,0,0,0,0,403.62,1,403.62,133.33,365,-94.71,NO
727,😻 TarKat 😻 +MEV,3r84fqQnrSLrEDA8p5TStbHB8QFRHB9Frcdmq1AGVDYG,30801.14,0.00008,0.97,0,0.08,0,0,33.88,0.0777,402.34,0.9223,436.23,133.33,365,-62.11,NO
728,Yekat,C2KtdF4FBNybpJrAW9p57SRxv1cqH7EAFeJPJ9J3biLi,30781.7,0.00008,0.97,0.05,0.1,105.77,0.1923,42.33,0.0769,402.09,0.7308,550.19,133.33,365,51.86,YES
729,"YYDS Validator 🚀 Performant, Secure and NO Fees",DzPT1ZWDeURdTj38QBSceWnrpYFxZRBLPRXmUgHVDAGR,30654.56,0.00008,0.97,0,0,0,0,0,0,400.43,1,400.43,133.33,365,-97.9,NO
730,pafnutij,2YNubqM7eHLEL7JnygJYSWPq42LXYKiL5GkXfvEbZGQW,30597.74,0.00008,0.97,0.05,0.1,105.14,0.1923,42.07,0.0769,399.69,0.7308,546.9,133.33,365,48.57,YES
731,troo,XBtfuT5gYU27UAukT3pEzgiKgHpHNQhSoa3zX2PYtiT,30530.74,0.00008,0.97,0.05,0.1,104.91,0.1923,41.98,0.0769,398.81,0.7308,545.7,133.33,365,47.37,YES
732,KlaustinMB,CCxSNvJogH6LWyoiEbG7JfcWybw2FqqCExs5GuemChGr,30448.82,0.00008,0.97,0.05,0,104.63,0.2083,0,0,397.74,0.7917,502.37,133.33,365,4.04,BREAKEVEN
733,iX,74PrnaiKU5q8SJX4H9Jis7xyzMUNoSesizn7FhFZaxfG,30375.29,0.00008,0.97,0,0.05,0,0,20.88,0.05,396.78,0.95,417.66,133.33,365,-80.67,NO
734,P2PStaking 0% fees + 95% 💸MEV💸 returned,5cXLZKeTuRm95ng96K2qCdxB2kSU1ajW291HmEkNpXkM,30261.77,0.00008,0.97,0,0.08,0,0,33.29,0.0777,395.3,0.9223,428.59,133.33,365,-69.75,NO
735,VesuvioStake,2EugUXCgvu1qAfKiUgDjcMpeMcr1pvWVeug9YHtGDoSq,29902.6,0.00008,0.97,0,0,0,0,0,0,390.61,1,390.61,133.33,365,-107.73,NO
736,SolGuardian,JnGGar3XbAN6J3cKGRbNajCuhqnc9XWrk6WWr6hDmuM,29886.63,0.00008,0.97,0,0.08,0,0,32.88,0.0777,390.4,0.9223,423.27,133.33,365,-75.06,NO
737,OUTSIDER,8S9tun2N71Q9VmTsyf8oWgf8wWsLF6YVKQEpsTmsnBfD,29839.11,0.00008,0.971,0,0.1,0,0,41.03,0.0952,389.78,0.9048,430.81,133.33,365,-67.53,NO
738,IT-SRV Group,4ZxDeRyvhXi7Bc23qPFkeZptzE8J54eimL8phVPN5AXa,29417.39,0.00008,0.971,0,0,0,0,0,0,384.27,1,384.27,133.33,365,-114.06,NO
739,Nastena,8EKcbqKnQT9SV7hFUmfpJixZ63GL5btf74umgPQWsMUH,29306.91,0.00008,0.971,0,0.1,0,0,40.3,0.0952,382.83,0.9048,423.12,133.33,365,-75.21,NO
740,Tarot,4gGhS4PaKHsg5GWEpo4tHhMibdHMeRa5567NVubMEBiB,29183.99,0.00008,0.971,0,0.1,0,0,40.13,0.0952,381.22,0.9048,421.35,133.33,365,-76.98,NO
741,SolX +Mev,SzNm2zDpK3eJmSYR21pRaQ5b4wQ37ecds6det5YCZFP,28693.73,0.00008,0.971,0,0,0,0,0,0,374.82,1,374.82,133.33,365,-123.52,NO
742,Stake on me,7teJuHhmHjCHDZiB2TEgdS5wFru4sRJB9JJR4wAQ8pM5,28510.1,0.00008,0.971,0,0.1,0,0,39.2,0.0952,372.42,0.9048,411.62,133.33,365,-86.71,NO
743,Stable&Fast,FLJSCfUjREZku7hK7cB6aEXCVMY6sFVoyn5gMoKxSDkq,28197.35,0.00008,0.971,0.05,0.1,96.89,0.1923,38.77,0.0769,368.33,0.7308,504,133.33,365,5.66,BREAKEVEN
744,sapog,CGj63fS6gJXm8KvaUkkL5yAZvH9cjeRgHCgJwcZZEsRd,28176.94,0.00007,0.971,0.05,0.1,96.82,0.1923,38.74,0.0769,368.07,0.7308,503.63,133.33,365,5.3,BREAKEVEN
745,Dual Validator,CNcaYdqkCwxDpKSVK8in5f6kqrTiZ5SuHsHFDqx6jNvu,28154.6,0.00007,0.971,0.02,0.08,38.7,0.0885,30.97,0.0708,367.77,0.8407,437.44,133.33,365,-60.89,NO
746,Blockscope.net,7wqiBhRVEkbV3A8LbR9W1eNb5s27CBwoRCVro1okB6ew,28121.41,0.00007,0.971,0,0.08,0,0,30.93,0.0777,367.34,0.9223,398.27,133.33,365,-100.06,NO
747,,HQbdXrLm3EuFyu66mCpDS4ir9zRkhNHJVnck4vxG7jEo,28100.84,0.00007,0.971,0,0.07,0,0,27.05,0.0686,367.07,0.9314,394.12,133.33,365,-104.21,NO
748,genco,6yShbTX3KRMJLANDfo8Xo4aHYCjepjUbna9Y64mdQB1a,28037.83,0.00007,0.971,0.05,0.1,96.35,0.1923,38.55,0.0769,366.25,0.7308,501.15,133.33,365,2.81,BREAKEVEN
749,Solary | 0% +MEV,DKeL7T5t7XXKSbWpM3i9mkV9hRhqrEDbVVyL63AJ7TqE,28022.42,0.00007,0.971,0,0,0,0,0,0,366.05,1,366.05,133.33,365,-132.29,NO
750,SunnyNode 🔥0% fee + Jito MEV🔥,5VocRSwT6cqSTB8qcJ8CsSmHCmGNnohXySHWWQRfmv3a,27820.54,0.00007,0.972,0,0,0,0,0,0,363.41,1,363.41,133.33,365,-134.92,NO
751,alex_s1,Cc7UtVq4G25VbC3w6Ccs2XL2xikjc926q1sHp8zfddoL,27795.74,0.00007,0.972,0,0.1,0,0,38.22,0.0952,363.09,0.9048,401.31,133.33,365,-97.03,NO
752,Stellar 💫,8dHAjvZbnBfi67A7RTBXyMuq6uomJNNyre9guENFGcFD,27740.73,0.00007,0.972,0,0,0,0,0,0,362.37,1,362.37,133.33,365,-135.97,NO
753,Rain Works💧MEV💧0% fees,A11pGbZDE8fPNZgiqDjoST6v3QMdhzZ3r8W5YahCKtS5,27716.08,0.00007,0.972,0,0,0,0,0,0,362.05,1,362.05,133.33,365,-136.29,NO
754,SunSol Validator,SUN1nYpPJVjd3gKnDACdaUVL53LJaXR9u8e9i1jkZ3a,27687.96,0.00007,0.972,0,0.03,0,0,11.42,0.0306,361.68,0.9694,373.1,133.33,365,-125.23,NO
755,Solscan,scanjszMg2p4pXCZJWNUY8gEN6sCqY2oThXV58NPbWd,27546.04,0.00007,0.972,0.05,0.08,94.66,0.1953,30.3,0.0625,359.82,0.7422,484.78,133.33,365,-13.55,NO
756,goto5k,14YCghb1uYPreALx6arirtPAnoGghoPH2Ac6gCmNQdq7,27377.45,0.00007,0.972,0.05,0.1,94.08,0.1923,37.64,0.0769,357.62,0.7308,489.34,133.33,365,-8.99,BREAKEVEN
757,EWR 0% Validator | No commission + Jito/MEV,5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z,27235.77,0.00007,0.972,0,0,0,0,0,0,355.77,1,355.77,133.33,365,-142.56,NO
758,NodesGuru,xSGajeS6niLPNiHGJBuy3nzQVUfyEAQV1yydrg74u4v,26979.48,0.00007,0.972,0.05,0.1,92.71,0.1923,37.1,0.0769,352.42,0.7308,482.23,133.33,365,-16.1,NO
759,SolSheen 💞,HMLfMHdETcGSqPGAr38rSiwewsSZvLPMMPALc5pggtiW,26865.47,0.00007,0.972,0.05,0.1,92.32,0.1923,36.94,0.0769,350.93,0.7308,480.19,133.33,365,-18.14,NO
760,trezorito,EFeLsLsrLhGqy7LSdws4sKvinvCohBBAda2q4iHBrrss,26854.7,0.00007,0.972,0.05,0.1,92.28,0.1923,36.93,0.0769,350.79,0.7308,480,133.33,365,-18.33,NO
761,,9zbNraMowU2bvCJb8GB9poN2dRaLR4pCwmDco42yfYUk,26787.48,0.00007,0.972,0.05,0.1,92.05,0.1923,36.83,0.0769,349.92,0.7308,478.8,133.33,365,-19.54,NO
762,Maslenok,HC1NSDR9cbBeQ8V1XJ62VNceUAbjGdnCcH7f5wVFVZw3,26687.11,0.00007,0.972,0,0.1,0,0,36.7,0.0952,348.6,0.9048,385.3,133.33,365,-113.03,NO
763,StarPaw.wtf,9V3mbi8z9MHicFQN9n9CGEMfuX4yKaBjJNuzyTUxaWXi,26595.56,0.00007,0.972,0,0.1,0,0,36.57,0.0952,347.41,0.9048,383.98,133.33,365,-114.36,NO
764,Gigaward 🏆,Ha5QeKj9o3u1116qohTcSqEhPRJgUUKSLxS1n5Phgq85,26583.15,0.00007,0.973,0,0,0,0,0,0,347.25,1,347.25,133.33,365,-151.09,NO
765,FireDog 🔥 ZERO FEES,DrCcHpAWj8a4JU99QKtwfCynzdhgQeuieAY9WadZD5Ry,26471.52,0.00007,0.973,0,0,0,0,0,0,345.79,1,345.79,133.33,365,-152.55,NO
766,Evgeny,5wYHvcKbCHPsT9dhEZaVZzoVY1qA7bosKRzKczpcaXpq,26442.43,0.00007,0.973,0.05,0.1,90.86,0.1923,36.36,0.0769,345.41,0.7308,472.63,133.33,365,-25.7,NO
767,OmegaNode Validator,EMVmh5hF6LT1sZM9G7dEX1bykRYEymWY2vtE7QHBBAW6,26439.21,0.00007,0.973,0.05,0.08,90.85,0.1953,29.08,0.0625,345.37,0.7422,465.3,133.33,365,-33.03,NO
768,💞 GirlWithSol 💞,ESaLvDNR7FVdf4sR1edjAGN678ts24s8VGirvPq9q7H3,26421.79,0.00007,0.973,0.05,0.1,90.79,0.1923,36.33,0.0769,345.14,0.7308,472.26,133.33,365,-26.07,NO
769,Not a potato + MEV,9KCBBdzx4cGZg14YaqBuZd1tGUvo9ohYnW7KEqQes1E1,26341.8,0.00007,0.973,0,0.1,0,0,36.22,0.0952,344.09,0.9048,380.31,133.33,365,-118.02,NO
770,TdrSys,5CBkJdDPMWCmss3Y48B36w78Bgxur4mDib6tQ9yMKe1B,26224.2,0.00007,0.973,0.05,0.1,90.11,0.1923,36.06,0.0769,342.56,0.7308,468.73,133.33,365,-29.6,NO
771,0% Fee + MEV 🚀 | SolVision,BtUD8v5vEXJ8CSUo2qQq4vqQxKSiLKUp1bxeeGLJsPXM,26209.26,0.00007,0.973,0,0.1,0,0,36.04,0.0952,342.36,0.9048,378.4,133.33,365,-119.93,NO
772,Gladiator stake | Jito MEV,HD9FwkthKMAFzT3zsPfsZuELUN7pW71KkDR1EczuX8t5,26207.95,0.00007,0.973,0,0,0,0,0,0,342.35,1,342.35,133.33,365,-155.99,NO
773,StrikeTeam,Anv7J9kMdJWr1aU6rQvQyd24zBp5GscP8NeDpRqGKz8e,26103.87,0.00007,0.973,0.05,0.1,89.7,0.1923,35.89,0.0769,340.99,0.7308,466.58,133.33,365,-31.75,NO
774,✨ SolLine ✨,3tjGkvUsNEk8UBUQECCTpeAoo6NovHvEG44MZDPCcZko,26098.09,0.00007,0.973,0.05,0.1,89.68,0.1923,35.89,0.0769,340.91,0.7308,466.48,133.33,365,-31.86,NO
775,Stakezilla,pgbB8erEYkTBKxyuXJRB4HrwtgyKYqeGCQnuPAH8yVw,26027.02,0.00007,0.973,0,0.1,0,0,35.79,0.0952,339.98,0.9048,375.77,133.33,365,-122.56,NO
776,Agrestus,sBcuGeMJCRkdtMNgskLTX7MePb4CzCqZuyMKDrcPP8v,26002.86,0.00007,0.973,0.05,0.1,89.35,0.1923,35.75,0.0769,339.67,0.7308,464.77,133.33,365,-33.56,NO
777,vlada1,C2HZnYeF5BBbtAA96iZYcFPv3vqRUur7ZXXYAAZ1GMfw,25870.83,0.00007,0.973,0,0.1,0,0,35.57,0.0952,337.94,0.9048,373.51,133.33,365,-124.82,NO
778,StakeHero,DSRnpPkLWLA5V2TZo3AJwe2eGfkZ4ZaCwRf2v7e4aXg7,25870.65,0.00007,0.974,0,0.1,0,0,35.57,0.0952,337.94,0.9048,373.51,133.33,365,-124.82,NO
779,,9oNSYHVuPFYSVRBUN1nRW3Hoz58XGH957etGuQ1pWAmG,25848.49,0.00007,0.974,0.05,0.1,88.82,0.1923,35.54,0.0769,337.65,0.7308,462.01,133.33,365,-36.32,NO
780,Gotham,FyrSH4VeQidMVPQ9AE2szAbP5xBZBprRG3z1QMMLNi5X,25841.73,0.00007,0.974,0.05,0,88.8,0.2083,0,0,337.56,0.7917,426.36,133.33,365,-71.97,NO
781,Sanderok,2LdPsE15gum8SDCExPHuhYz2Gx66gxaETQcUruDoavSv,25820.81,0.00007,0.974,0,0.08,0,0,28.4,0.0777,337.29,0.9223,365.69,133.33,365,-132.64,NO
782,qwertys318,GTeoHau1SpLhoiDGJdQpGd7AS3gyaFLgGVG2EHQRHoWp,25733.67,0.00007,0.974,0.05,0,88.43,0.2083,0,0,336.15,0.7917,424.58,133.33,365,-73.76,NO
783,MainOrbit +MEV,6ztDG1XRZiuXtoCotN51kUPtdHXwRAgRiVEbbUfoQ6CK,25632.53,0.00007,0.974,0.05,0.1,88.08,0.1923,35.25,0.0769,334.83,0.7308,458.15,133.33,365,-40.18,NO
784,MoonCat,Fxnh7reapaQPZdbLPpFG1svuEGcJvibnT1Q4N8h11g4A,25521.19,0.00007,0.974,0.05,0.1,87.7,0.1923,35.09,0.0769,333.37,0.7308,456.16,133.33,365,-42.17,NO
785,Lifetime 0% fee + full MEV payout | Alphasearch,ALPHAthakWdoUxXJP6z8cjCkwrufcARXqi34EjShtFVT,25467.38,0.00007,0.974,0,0,0,0,0,0,332.67,1,332.67,133.33,365,-165.66,NO
786,StakeArmy,91ciyr81FJnZaoWcDT4PHwwdzgNp21cgH354JbCuxnwR,25318.36,0.00007,0.974,0.05,0.1,87,0.1923,34.81,0.0769,330.72,0.7308,452.54,133.33,365,-45.79,NO
787,,Bp1F9Ma65vJCecNQBauQ3yvbARDbC1kZXEvfmcux9HLy,25316.88,0.00007,0.974,0.05,0.1,87,0.1923,34.81,0.0769,330.71,0.7308,452.51,133.33,365,-45.82,NO
788,Viking: Top-Ranking Validator with Additional Rewards | Stake with Us,8F4e1nbeC6hn9jkojtboERZGaafxUUtsqUy3MKJLohkh,25255.92,0.00007,0.974,0,0.08,0,0,27.78,0.0777,329.91,0.9223,357.69,133.33,365,-140.64,NO
789,ChainLayer,8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp,25170.92,0.00007,0.974,0.05,0,86.49,0.2083,0,0,328.8,0.7917,415.29,133.33,365,-83.04,NO
790,[PoN] USUCH +MEV!,ADoWVeGQscFzTue51tMtFiLWiTTYYnkQryQFN9VzoRxL,25057.7,0.00007,0.974,0,0,0,0,0,0,327.32,1,327.32,133.33,365,-171.01,NO
791,luav34,53gnaHMxDzGTZ9A58S4jbc1qzhYT4X51thUD4MdSBiyo,25057.59,0.00007,0.974,0.05,0.1,86.11,0.1923,34.45,0.0769,327.32,0.7308,447.88,133.33,365,-50.46,NO
